ID,Health,Type
1,20,Dove
2,80,Dove
3,40,Dove
4,100,Dove
5,80,Dove
6,60,Dove
7,40,Dove
8,20,Dove
9,20,Dove
10,40,Dove
11,80,Dove
12,80,Dove
13,100,Dove
14,100,Dove
15,100,Dove
16,20,Dove
17,100,Dove
18,60,Dove
19,40,Dove
20,80,Dove
21,20,Dove
22,20,Dove
23,80,Dove
24,100,Dove
25,60,Dove
26,60,Dove
27,60,Dove
28,40,Dove
29,60,Dove
30,80,Dove
31,100,Dove
32,100,Dove
33,60,Dove
34,20,Dove
35,60,Dove
36,40,Dove
37,100,Dove
38,40,Dove
39,100,Dove
40,20,Dove
41,80,Dove
42,20,Dove
43,80,Dove
44,80,Hawk
45,60,Hawk
46,60,Hawk
47,80,Hawk
48,40,Hawk
49,40,Hawk
50,100,Hawk
51,100,Hawk
52,60,Hawk
53,80,Hawk
54,40,Hawk
55,60,Hawk
56,20,Hawk
57,40,Hawk
58,80,Hawk
59,100,Hawk
60,40,Hawk
61,100,Hawk
62,80,Hawk
63,80,Hawk
64,40,Hawk
65,20,Hawk
66,80,Hawk
67,100,Hawk
68,40,Hawk
69,100,Hawk
70,100,Hawk
71,60,Hawk
72,40,Hawk
73,100,Hawk
74,100,Hawk
75,20,Hawk
76,80,Hawk
77,60,Hawk
78,20,Hawk
79,20,Hawk
80,20,Hawk
81,100,Hawk
82,60,Hawk
83,60,Hawk
84,20,Hawk
85,40,Hawk
86,60,Hawk
ID,Health,Type
1,20,Dove
2,60,Dove
3,60,Dove
4,40,Dove
5,80,Dove
6,100,Dove
7,20,Dove
8,20,Dove
9,80,Dove
10,40,Dove
11,40,Dove
12,20,Dove
13,60,Dove
14,60,Dove
15,40,Dove
16,100,Dove
17,40,Dove
18,60,Dove
19,60,Dove
20,100,Dove
21,60,Dove
22,20,Dove
23,40,Dove
24,20,Dove
25,40,Dove
26,80,Dove
27,80,Dove
28,100,Dove
29,80,Dove
30,40,Dove
31,20,Dove
32,40,Dove
33,80,Dove
34,80,Dove
35,60,Dove
36,100,Dove
37,100,Dove
38,40,Dove
39,40,Dove
40,100,Dove
41,20,Dove
42,100,Dove
43,80,Dove
44,40,Dove
45,80,Dove
46,20,Dove
47,100,Dove
48,40,Dove
49,20,Dove
50,40,Dove
51,100,Dove
52,40,Dove
53,20,Dove
54,40,Hawk
55,80,Hawk
56,80,Hawk
57,40,Hawk
58,60,Hawk
59,80,Hawk
60,100,Hawk
61,80,Hawk
62,80,Hawk
